space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_1_19_-4.9589_12.1623,41.28147467352704,-0.476,0.26,16471,26,0.0016
2022_1_19_-4.9589_12.1623,46.59167208861541,-0.763,0.271,12439,20,0.0016
2022_1_19_-4.9589_12.1623,48.64435242858077,-0.763,0.271,12988,21,0.0016
2022_1_19_-4.9589_12.1623,49.7156490822283,-0.763,0.271,13274,21,0.0016
2022_1_19_-4.9589_12.1623,48.15917899463115,-0.626,0.273,12858,21,0.0016
2022_1_19_-4.9589_12.1623,40.855098522791934,-0.626,0.273,10908,17,0.0016
2022_1_19_-4.9589_12.1623,31.195296963823868,-0.626,0.273,8329,13,0.0016
2022_1_19_-4.9589_12.1623,29.91118815582385,-0.444,0.269,11934,19,0.0016
2022_1_19_-4.9589_12.1623,32.308605382626894,-0.444,0.269,12891,21,0.0016
2022_1_19_-4.9589_12.1623,32.71219298939426,-0.793,0.274,8734,14,0.0016
2022_1_19_-4.9589_12.1623,34.53798226426354,-0.793,0.274,9221,15,0.0016
2022_1_19_-4.9589_12.1623,32.721561022064726,-0.793,0.274,8736,14,0.0016
2022_1_19_-4.9589_12.1623,33.386553675246425,-0.974,0.268,8914,14,0.0016
2022_1_19_-4.9589_12.1623,37.12560748916395,-0.974,0.268,9912,16,0.0016
2022_1_19_-4.9589_12.1623,38.95636954409575,-0.974,0.268,10401,17,0.0016
2022_1_19_-4.9589_12.1623,38.339382182352345,-0.767,0.265,10236,16,0.0016
2022_1_19_-4.9589_12.1623,35.26974649365935,-0.767,0.265,9417,15,0.0016
2022_1_19_-4.9589_12.1623,32.62545642311444,-0.113,0.262,17780,28,0.0016
2022_1_19_-4.9589_12.1623,34.70300066340284,-0.113,0.262,18913,30,0.0016
2022_1_19_-4.9589_12.1623,33.67308061952215,-0.113,0.262,18351,29,0.0016
2022_1_19_-4.9589_12.1623,2.952429349826502,0.331,0.321,2323,4,0.0016
2022_1_19_-4.9589_12.1623,19.08414461416003,0.201,0.311,15019,24,0.0016
