space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_10_23_-4.6833_9.95,18.86698674394063,-0.258,0.395,5301,8,0.0016
2022_10_23_-4.6833_9.95,19.82787125325544,-0.258,0.395,5571,9,0.0016
2022_10_23_-4.6833_9.95,20.30264407385979,-0.258,0.395,5705,9,0.0016
2022_10_23_-4.6833_9.95,20.349780773314667,-0.258,0.395,5718,9,0.0016
2022_10_23_-4.6833_9.95,19.86609681874609,-0.258,0.395,5582,9,0.0016
2022_10_23_-4.6833_9.95,18.65505238510968,-0.258,0.395,5242,8,0.0016
2022_10_23_-4.6833_9.95,18.14763428840393,-0.137,0.285,7222,12,0.0016
2022_10_23_-4.6833_9.95,18.18274562252044,-0.137,0.285,7236,12,0.0016
2022_10_23_-4.6833_9.95,19.532550808404327,-0.679,0.287,3515,6,0.0016
2022_10_23_-4.6833_9.95,24.30942682045097,-0.679,0.287,4375,7,0.0016
2022_10_23_-4.6833_9.95,19.301346406034146,-0.679,0.287,3474,6,0.0016
2022_10_23_-4.6833_9.95,0.368487607807201,-0.679,0.287,66,0,0.0016
2022_10_23_-4.6833_9.95,1.238225506990087,-0.132,0.392,492,1,0.0016
2022_10_23_-4.6833_9.95,13.948281963841572,-0.132,0.392,5551,9,0.0016
2022_10_23_-4.6833_9.95,16.061980894821797,-0.132,0.392,6392,10,0.0016
2022_10_23_-4.6833_9.95,16.54987641183385,-0.258,0.395,4650,7,0.0016
